Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F101	34	LA000000900226000772300	Wild HV	Wild	HV	12:12	1	20.4	124	34_3	1	2	1	6.103	0.623435701	1
F105	11	LA000000900226000790144	Wild LV	Wild	LV	12:12	1	12.2	106	11_3	1	2	3	4.5765	0.181047647	0
F139	68	LA000000900226000789287	Wild HV	Wild	HV	24	-1	21.4	124	68_1	-1	3	5	4.042333333	0.191321502	1
F70	35	LA000000982000359701574	Wild LV	Wild	LV	12:12	-1	11.8	105	35_3	0	4	3	0.1285	0.597737786	1
F72	64	LA000000900226000789202	Wild HV	Wild	HV	12:12	1	15.8	117	64_3	1	3	2	1.131333333	0.443069522	1
F93	20	LA000000900226000772211	Wild HV	Wild	HV	12:12	1	18	118	20_3	1	1	1	1.515166667	0.464895493	1
F96	42	LA000000900226000772251	Wild HV	Wild	HV	12:12	-1	21.2	121	42_3	1	3	3	7.4895	0.724317629	1
	7	LA000000900226000772244	Wild HV	Wild	HV	24	NA	NA	NA	7_2	0	2	1	5.911833333	0.918059695	1
	73	LA000000900226000789965	Wild LV	Wild	LV	24	NA	NA	NA	73_2	0	3	1	0	0.270820513	1
F139	68	LA000000900226000789287	Wild HV	Wild	HV	24	-1	21.4	124	68_2	0	1	2	0.713666667	0.43980198	1
	55	LA000000900226000789927	Wild LV	Wild	LV	24	NA	NA	NA	55_1	-1	3	7	9.75	NA	0
F117	52	LA000000900226000789999	Wild LV	Wild	LV	24	-1	15.8	114	52_1	-1	3	1	9.75	NA	0
F65	76	LA000000900226000524063	Wild LV	Wild	LV	12:12	1	12.4	108	76_2	-1	3	2	0.573166667	0.628992115	1
F68	3	LA000000900226000789212	Wild LV	Wild	LV	12:12	1	15.6	116	3_2	-1	3	1	4.703833333	0.318724894	0
F79	84	LA000000900226000790697	Wild HV	Wild	HV	12:12	-1	13.7	109	84_2	-1	4	1	7.93	0.967763736	0
	55	LA000000900226000789927	Wild LV	Wild	LV	24	NA	NA	NA	55_2	0	4	1	0.0945	0.433085806	1
